contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility,mid,T,r
A130817C00028000,A,2013-08-17,call,28.0,A,13.3,,15.3,,0,0,2013-01-02,0.9464,0.0092,-0.7212,3.3664,0.3352,14.3,0.6219178082191781,0.1
A130817C00029000,A,2013-08-17,call,29.0,A,12.45,,13.75,,0,0,2013-01-02,0.9313,0.0114,-0.9393,4.1545,0.3352,13.1,0.6219178082191781,0.1
A130817C00030000,A,2013-08-17,call,30.0,A,11.75,,12.75,,0,0,2013-01-02,0.9135,0.0137,-1.1748,5.0058,0.3352,12.25,0.6219178082191781,0.1
A130817C00031000,A,2013-08-17,call,31.0,A,10.9,,11.95,,0,0,2013-01-02,0.8979,0.0161,-1.3243,5.6944,0.3261,11.425,0.6219178082191781,0.1
A130817C00032000,A,2013-08-17,call,32.0,A,10.05,,11.0,,0,0,2013-01-02,0.8766,0.0187,-1.5406,6.5591,0.3229,10.525,0.6219178082191781,0.1
A130817C00033000,A,2013-08-17,call,33.0,A,9.65,,11.05,,0,0,2013-01-02,0.8441,0.0212,-1.9318,7.7392,0.3352,10.350000000000001,0.6219178082191781,0.1
A130817C00034000,A,2013-08-17,call,34.0,A,8.85,,9.15,,0,0,2013-01-02,0.8159,0.0237,-2.1809,8.6362,0.3352,9.0,0.6219178082191781,0.1
A130817C00035000,A,2013-08-17,call,35.0,A,7.95,,8.35,,0,0,2013-01-02,0.7923,0.0266,-2.2691,9.3146,0.3217,8.15,0.6219178082191781,0.1
A130817C00036000,A,2013-08-17,call,36.0,A,7.25,,7.6,,0,0,2013-01-02,0.7606,0.0292,-2.4651,10.1215,0.3192,7.425,0.6219178082191781,0.1
A130817C00037000,A,2013-08-17,call,37.0,A,6.65,,6.85,,0,0,2013-01-02,0.7262,0.0314,-2.6551,10.8722,0.318,6.75,0.6219178082191781,0.1
A130817C00038000,A,2013-08-17,call,38.0,A,5.95,,6.15,,0,0,2013-01-02,0.6921,0.034,-2.7605,11.5041,0.3111,6.050000000000001,0.6219178082191781,0.1
A130817C00039000,A,2013-08-17,call,39.0,A,5.3,,5.45,,10,0,2013-01-02,0.6556,0.0365,-2.8316,12.0551,0.3034,5.375,0.6219178082191781,0.1
A130817C00040000,A,2013-08-17,call,40.0,A,4.7,,4.85,,0,10,2013-01-02,0.6165,0.0385,-2.9052,12.5136,0.2988,4.775,0.6219178082191781,0.1
A130817C00041000,A,2013-08-17,call,41.0,A,4.15,,4.25,,5,3,2013-01-02,0.5759,0.0403,-2.935,12.8489,0.2931,4.2,0.6219178082191781,0.1
A130817C00042000,A,2013-08-17,call,42.0,A,3.6,,3.75,,0,8,2013-01-02,0.534,0.0416,-2.9406,13.0479,0.2884,3.675,0.6219178082191781,0.1
